-1.4  1.51422e-11
-1.3  9.222e-12
-1.2  5.98762e-12
-1.1  4.01539e-12
-1  2.73725e-12
-0.9  1.88801e-12
-0.8  1.32228e-12
-0.7  9.75565e-13
-0.6  7.49379e-13
-0.5  5.9099e-13
-0.4  4.77945e-13
-0.3  3.95548e-13
-0.2  3.34157e-13
-0.1  2.87438e-13
0  2.51213e-13
0.1  2.22734e-13
0.2  2.00195e-13
0.3  1.82425e-13
0.4  1.68689e-13
0.5  1.58556e-13
0.6  1.5183e-13
0.7  1.48497e-13
0.8  1.48708e-13
0.9  1.49707e-13
1  1.54685e-13
1.1  1.63987e-13
1.2  1.78103e-13
1.3  2.02066e-13
1.4  2.33677e-13
1.5  2.74556e-13
1.6  3.26733e-13
1.7  3.9275e-13
1.8  4.75767e-13
1.9  5.79714e-13
2  7.09476e-13
2.1  8.71116e-13
2.2  1.07215e-12
2.3  1.32191e-12
2.4  1.63195e-12
2.5  2.01662e-12

